index,Democrat,Republican,Ambigious,ideology_score,ideology_score_flw,party,news_count,politicians_flw_count,worldview_alignment
807051994556989441,2,7,2,,,,,,0.7777777777777778
3329834421,2,8,2,0.808823529411764,1.0,Republican,17.0,1,0.8
725709705289555968,0,6,6,0.770833333333333,0.765682344971619,Republican,12.0,24,1.0
3280835311,6,5,2,0.1953125,0.20059548182169,Democrat,64.0,7,0.5454545454545454
3389971793,2,7,1,0.035714285714285005,0.179649563721815,Democrat,7.0,5,0.2222222222222222
1902383390,3,5,3,0.35714285714285704,0.19649648395183703,Democrat,7.0,13,0.375
794668993042935808,1,6,3,0.25,0.645084281657053,Democrat,1.0,9,0.14285714285714285
4129934565,3,1,6,0.15,0.196409195145394,Democrat,5.0,27,0.75
82662142,4,3,4,0.277777777777777,0.205732894920495,Democrat,9.0,4,0.5714285714285714
75387859,4,4,2,0.23333333333333303,0.21148725958074302,Democrat,15.0,47,0.5
780586280006524928,7,5,0,0.35000000000000003,0.186725627488312,Democrat,10.0,24,0.5833333333333334
22976806,5,7,0,0.305555555555555,0.15106297463558502,Democrat,9.0,6,0.4166666666666667
352722764,4,4,2,0.32,0.28860022557053,Democrat,25.0,4,0.5
83241138,0,6,5,0.75,0.702763122151791,Republican,12.0,13,1.0
129867408,3,5,5,0.210526315789473,0.220824612898316,Democrat,19.0,68,0.375
29734459,0,4,6,0.676470588235294,0.681698567041636,Republican,17.0,30,1.0
1090351770562449414,2,9,1,,,,,,0.8181818181818182
1312255819,0,5,5,0.833333333333333,0.750507396217291,Republican,24.0,14,1.0
122758456,1,9,3,0.8382352941176471,0.6933523807466441,Republican,17.0,5,0.9
903678570698039296,1,3,6,0.9473684210526311,0.729642983161023,Republican,19.0,15,0.75
2191718870,0,8,5,0.833333333333333,0.5070835937011711,Republican,3.0,2,1.0
