index,Democrat,Republican,Ambigious,i_score,party
250655665,3,3,4,0.25,Democrat
1250395016,6,1,4,,
1974319093,8,0,2,,
19948383,3,2,6,0.35000000000000003,Democrat
16182141,5,3,2,0.16666666666666602,Democrat
335879878,6,2,2,0.375,Democrat
300192455,6,2,3,0.14865286503810302,Democrat
208154098,4,2,5,0.0,Democrat
464815693,4,4,2,0.30357142857142805,Democrat
2159425900,8,1,1,0.25,Democrat
95802312,3,4,4,1.0,Republican
344918904,8,0,4,,
1093220220,3,4,3,1.0,Republican
341272035,6,0,4,0.291666666666666,Democrat
20702394,9,1,2,,
295621079,3,4,3,0.25,Democrat
703615311711330304,1,5,4,0.9166666666666661,Republican
1348343316,1,0,9,,
3842172078,6,1,3,0.277777777777777,Democrat
1216557248,4,2,7,0.25,Democrat
897688524241207296,7,2,4,0.25,Democrat
704501696525787136,5,2,6,0.16666666666666602,Democrat
3233128577,2,2,6,0.25,Democrat
2191111430,5,0,5,0.25,Democrat
37387727,5,3,5,0.23333333333333303,Democrat
1950103820,7,1,4,0.25,Democrat
3818382012,7,1,2,,
1621996069,6,1,3,0.5,Republican
823306293255532546,4,3,3,,
789176444207321088,5,1,4,0.3125,Democrat
22824733,5,2,4,0.125,Democrat
258921238,7,2,1,0.25,Democrat
283096687,3,5,2,0.30000000000000004,Democrat
282884150,0,0,12,,
3589220899,3,0,8,0.35000000000000003,Democrat
232838916,4,1,7,0.13636363636363602,Democrat
2575915724,6,3,2,,
155998467,5,1,6,0.225,Democrat
449451484,6,0,11,0.11111111111111101,Democrat
520138835,2,3,6,0.321428571428571,Democrat
31585693,3,6,1,0.18181818181818102,Democrat
27975874,0,6,6,0.0,Democrat
880615797567234053,5,4,1,,
464156610,6,1,3,0.25,Democrat
1455670278,6,3,2,0.14285714285714202,Democrat
216003080,0,7,3,,
26402930,3,3,4,0.192105263157894,Democrat
188912641,6,3,1,0.208333333333333,Democrat
4824321689,7,4,2,0.28846153846153805,Democrat
489825874,7,1,7,0.1875,Democrat
25753069,5,4,1,0.204905286868235,Democrat
741841538,8,1,2,0.321428571428571,Democrat
42436866,3,3,4,0.19709091692867,Democrat
34050474,2,2,6,0.25,Democrat
15588688,6,2,2,0.27272727272727204,Democrat
18071459,3,7,0,0.7621951219512191,Republican
4901834513,5,2,6,,
90590607,6,0,7,,
15075797,5,2,4,,
780550317616214020,5,2,4,,
12891382,4,4,3,0.279539568166464,Democrat
942056471293976577,5,4,2,,
20945705,7,4,0,0.125,Democrat
44158017,4,1,7,,
806839555,7,1,4,,
65731776,4,5,2,,
21832208,7,3,2,0.25,Democrat
794251041839529984,8,2,1,0.234375,Democrat
371567250,3,3,4,0.147811239275662,Democrat
511079248,3,3,4,,
885321037424078848,3,0,7,,
1066222170,5,2,5,0.25,Democrat
800849248652840961,2,2,6,,
312387472,2,3,5,0.7000000000000001,Republican
32500756,4,1,5,0.17867442910935502,Democrat
201377061,5,2,5,0.125,Democrat
915239916,6,0,4,0.208333333333333,Democrat
419983894,6,3,1,0.277777777777777,Democrat
358618003,9,3,0,,
427704594,4,2,4,0.16666666666666602,Democrat
826627039985819653,1,7,2,,
796828641556594688,6,2,4,0.0,Democrat
248469693,2,2,7,0.27314814814814803,Democrat
720776556,8,2,5,0.280466487311454,Democrat
4478958561,7,4,0,0.2,Democrat
243440810,6,2,3,0.25,Democrat
762060,7,1,4,,
188216649,5,2,3,0.25,Democrat
131042743,7,1,7,0.28846153846153805,Democrat
780037202499739649,4,2,4,,
16847767,1,5,6,0.155172413793103,Democrat
885626677,9,2,2,0.25,Democrat
2546271496,5,3,2,0.214363785668738,Democrat
4800598694,3,2,6,0.0625,Democrat
1381289574,5,6,0,,
20464538,0,7,5,0.6666666666666661,Republican
447195919,6,1,3,0.4,Democrat
804916603,5,2,3,0.25,Democrat
3183661021,4,4,2,0.0,Democrat
4914305528,5,1,5,,
2821605819,5,2,5,0.25,Democrat
21900041,5,3,2,0.5,Republican
1596494690,7,1,3,,
14775050,5,4,1,0.35714285714285704,Democrat
29209071,3,4,3,0.25,Democrat
825619093654953986,4,7,0,,
102399691,10,1,3,0.177083333333333,Democrat
770575610,1,1,9,0.257692307692307,Democrat
381016510,7,1,2,0.33333333333333304,Democrat
190637206,6,0,4,0.17857142857142802,Democrat
303947001,6,2,4,0.33333333333333304,Democrat
19294634,2,5,3,0.28947368421052605,Democrat
21431950,4,3,4,0.10144927536231801,Democrat
74725212,6,2,3,,
15938984,6,0,8,,
56056088,4,3,3,,
168818394,7,1,3,0.28333333333333305,Democrat
21430872,6,1,4,0.25,Democrat
1293286250,6,2,3,0.25,Democrat
61366620,7,3,0,0.30000000000000004,Democrat
1443745662,8,2,3,,
3419128989,7,3,2,,
81979135,6,2,2,0.308823529411764,Democrat
3257591580,1,2,10,0.223214285714285,Democrat
973977446017052674,6,3,1,,
845463837738459136,8,2,2,0.1,Democrat
1419388124,5,4,2,0.15,Democrat
2574664840,3,3,4,0.25,Democrat
2378956525,6,0,4,0.116071428571428,Democrat
2520790105,2,1,7,0.33333333333333304,Democrat
879377924209737728,1,9,0,,
300532585,7,0,3,0.75,Republican
3448872975,6,2,2,0.25,Democrat
3354099425,3,0,9,0.25,Democrat
3278682020,1,1,8,0.12142857142857101,Democrat
2543794168,4,2,5,0.17857142857142802,Democrat
988216817306034178,0,0,10,,
330648184,4,1,6,0.375,Democrat
178243149,8,1,4,0.375,Democrat
2792720831,4,3,4,,
42784926,3,0,7,,
1499682164,5,3,2,0.25,Democrat
1581691465,5,1,6,0.291666666666666,Democrat
33235771,3,6,2,0.25645161290322505,Democrat
22881505,6,3,3,0.416666666666666,Democrat
100822546,8,2,2,0.25,Democrat
760811778112647168,7,2,2,0.25,Democrat
472503942,4,0,6,0.1875,Democrat
37731769,6,2,5,0.28040540540540504,Democrat
3248463512,3,0,7,0.201388888888888,Democrat
18453278,5,4,1,,
991634754,6,3,2,0.25520833333333304,Democrat
480605581,3,2,5,,
784199915517861890,5,1,6,,
3087071556,2,3,9,,
16497945,6,1,3,0.28125,Democrat
45321454,6,2,4,0.301894924306427,Democrat
19739126,2,8,0,0.75,Republican
34529469,4,5,3,,
47231175,7,1,2,0.19736842105263103,Democrat
821433498783404035,1,9,0,,
460482889,4,1,7,0.25,Democrat
73005586,4,2,4,0.25,Democrat
18567229,2,3,6,0.222383720930232,Democrat
247591270,2,4,4,0.8214285714285711,Republican
241257336,5,4,2,0.25,Democrat
949060758,5,4,2,0.295454545454545,Democrat
408714534,6,1,4,0.3375,Democrat
777713015797850112,6,2,2,,
1414118940,4,3,3,0.25,Democrat
455483958,3,2,5,0.25,Democrat
24919772,5,3,5,0.078125,Democrat
81667148,6,2,4,0.25,Democrat
2311095618,5,5,2,0.16666666666666602,Democrat
458778352,4,3,4,,
48224749,3,4,5,0.05,Democrat
181655719,5,1,5,0.321428571428571,Democrat
129683769,7,4,4,,
28640666,4,5,1,0.221153846153846,Democrat
1072970280249769985,3,1,7,,
782770337272520704,4,3,4,0.1875,Democrat
79306562,4,2,4,0.17857142857142802,Democrat
917593567761137667,3,6,1,,
337489668,6,2,3,0.23750000000000002,Democrat
821840834794586113,6,0,6,,
34998160,4,3,4,0.3125,Democrat
426510507,0,6,5,0.9375,Republican
992641523274498048,7,2,2,0.184837428576884,Democrat
1636011996,9,1,1,0.208333333333333,Democrat
47764008,2,3,5,0.25673859096676604,Democrat
144206754,5,2,6,0.2109375,Democrat
737394188,3,2,6,,
1664423797,3,3,4,0.25,Democrat
24630383,7,5,0,0.321428571428571,Democrat
19608677,2,3,5,0.15625,Democrat
1499545332,3,4,3,0.20588235294117602,Democrat
930282753756749824,9,0,1,,
4118184194,3,0,11,,
746098995236216833,6,2,2,,
33119227,5,4,3,0.5,Republican
499293498,6,1,3,0.125,Democrat
637386423,3,2,5,0.25,Democrat
2857247324,9,4,0,0.20588235294117602,Democrat
843049653188923392,8,0,3,0.1875,Democrat
88981786,5,2,3,,
407531069,7,2,3,0.25,Democrat
2424902046,4,3,3,0.0,Democrat
244390024,5,1,4,0.08333333333333301,Democrat
518721139,5,1,5,0.21428571428571402,Democrat
755437441931022336,9,0,2,0.05952380952380901,Democrat
727940609533710337,4,2,5,,
394188905,3,6,2,0.159090909090909,Democrat
85584581,0,0,11,,
927649442433560576,0,8,3,0.7291666666666661,Republican
12256592,8,1,4,0.33333333333333304,Democrat
183299247,2,3,5,,
40040544,6,0,4,0.225,Democrat
1388667673,2,1,8,0.10911406074517802,Democrat
55084119,9,0,1,0.25,Democrat
2428129975,6,3,2,0.15,Democrat
49483516,6,3,1,0.198033124400801,Democrat
326451303,6,1,3,0.15,Democrat
203804565,3,3,5,0.0,Democrat
28953199,5,1,5,,
1965930534,6,3,2,0.15,Democrat
17573871,6,3,5,0.187244270008043,Democrat
1955282190,3,1,6,0.359375,Democrat
353942943,3,5,2,,
866884148,0,1,9,0.416666666666666,Democrat
9783422,6,2,2,,
19602229,7,2,3,0.1875,Democrat
351153307,9,0,6,0.25,Democrat
2658832810,7,2,1,0.21508841349479202,Democrat
16207616,3,0,7,,
2505542756,5,3,3,0.25,Democrat
210318675,7,4,0,,
13218102,1,7,3,0.442307692307692,Democrat
1045713782,4,2,4,0.18181818181818102,Democrat
