1,twitter_id,full_name,political_party,gender,state,type,ideology,leadership,name,party,description,introduced_bills_117,cosponsored_bills_117,unique_cosponsors_117,total_cosponsors_117
412833,1078771401497161728,Abigail Davis Spanberger,Democrat,F,VA,rep,0.4137015419095682,0.585656590321951,Spanberger,Democrat,centrist Democrat,37,465,231,517
412834,1017819745880543238,Jennifer Wexton,Democrat,F,VA,rep,0.2523721901009892,0.5284057571273084,Wexton,Democrat,rank-and-file Democrat,16,249,214,381
412835,1080462532815532032,Kim Schrier,Democrat,F,WA,rep,0.2902547313599788,0.4126263725247071,Schrier,Democrat,centrist Democratic follower,23,308,120,210
412836,1075205691621720064,Bryan Steil,Republican,M,WI,rep,0.5723459845280741,0.3425629397313219,Steil,Republican,rank-and-file Republican,15,187,123,167
412837,1081318716573470720,Carol D. Miller,Republican,F,WV,rep,0.5728246423812411,0.4321243065530682,Miller [WV3],Republican,rank-and-file Republican,18,175,197,303
412838,131546062,Rick Scott,Republican,M,FL,sen,0.9650292752081522,0.3381169389324245,Scott [FL],Republican,conservative Republican,106,419,62,361
412839,1080870981877534720,Mike Braun,Republican,M,IN,sen,0.9689121370297938,0.4631478514954523,Braun,Republican,conservative Republican,104,552,85,469
412840,1080960924687704064,Josh Hawley,Republican,M,MO,sen,0.8602297747530182,0.2005385025276858,Hawley,Republican,moderate Republican follower,49,232,25,55
412841,1078693601356509184,Mitt Romney,Republican,M,UT,sen,0.6868737634387749,0.1001882151631604,Romney,Republican,centrist Republican follower ,14,130,29,35
412842,1080891667308298240,Jared F. Golden,Democrat,M,ME,rep,0.3997405257829335,0.425551662334652,Golden,Democrat,centrist Democrat,19,167,74,92
412843,1136060761422405633,Fred Keller,Republican,M,PA,rep,0.6867726071158232,0.4967251992662019,Keller,Republican,rank-and-file Republican,20,334,226,454
412844,1176522535531360257,Dan Bishop,Republican,M,NC,rep,0.6725309108142199,0.4902043188216751,Bishop [NC9],Republican,rank-and-file Republican,19,258,187,592
412845,1173978070535024642,Gregory F. Murphy,Republican,M,NC,rep,0.6466419418982646,0.4100609288724243,Murphy [NC3],Republican,rank-and-file Republican,33,251,158,323
407672,1276209702322438148,Kweisi Mfume,Democrat,M,MD,rep,0.2175684897848572,0.1741004459561425,Mfume,Democrat,moderate Democratic follower,11,298,72,107
456791,1267841066335682562,Thomas P. Tiffany,Republican,M,WI,rep,0.695622460141901,0.1699975183061593,Tiffany,Republican,moderate Republican follower,15,363,61,101
456792,1262531473057423361,Mike Garcia,Republican,M,CA,rep,0.5001210408215415,0.1819738361728271,Garcia [CA25],Republican,centrist Republican follower ,11,165,72,90
456793,1276232539510919168,Chris Jacobs,Republican,M,NY,rep,0.5725947391076575,0.2394120689860192,Jacobs [NY27],Republican,rank-and-file Republican,23,259,103,161
456794,1324926274888888320,Mark Kelly,Democrat,M,AZ,sen,0.4879883439554849,0.1168326988646479,Kelly,Democrat,centrist Democratic follower,37,316,47,92
412294,22831059,Cynthia M. Lummis,Republican,F,WY,sen,0.8058304964253528,0.092002636660655,Lummis,Republican,moderate Republican follower,17,319,38,68
400196,63650107,Darrell Issa,Republican,M,CA,rep,0.5404092003680546,0.4700049006776118,Issa,Republican,centrist Republican,26,225,112,193
400367,24735461,Pete Sessions,Republican,M,TX,rep,0.682272034926622,0.2086050805724267,Sessions,Republican,moderate Republican follower,7,245,1,1
412515,1128514404,David G. Valadao,Republican,M,CA,rep,0.5883325537433741,0.4515054062238266,Valadao,Republican,rank-and-file Republican,6,341,15,41
456796,1345739193721487362,Tommy Tuberville,Republican,M,AL,sen,0.7406313071760615,0.0603406271253904,Tuberville,Republican,moderate Republican follower,15,168,26,49
456797,1318728336923787264,John W. Hickenlooper,Democrat,M,CO,sen,0.4259430813643803,0.0672093393079211,Hickenlooper,Democrat,centrist Democratic follower,25,236,35,54
456798,1346873610875654147,Bill Hagerty,Republican,M,TN,sen,0.7836021432823572,0.2852620665503217,Hagerty,Republican,moderate Republican follower,28,297,80,263
456799,1341091420439015424,Jerry L. Carl,Republican,M,AL,rep,0.5676110229280428,0.1113091402694598,Carl,Republican,moderate Republican follower,10,214,43,53
456800,1339006078688825344,Barry Moore,Republican,M,AL,rep,0.6120268595902754,0.0499598006957568,Moore [AL2],Republican,moderate Republican follower,10,291,24,27
456801,272482466,Jay Obernolte,Republican,M,CA,rep,0.5200835050666663,0.1123153775854865,Obernolte,Republican,centrist Republican follower ,16,241,49,56
456802,1344677401465397249,Young Kim,Republican,F,CA,rep,0.4716397445592538,0.4938276122792107,Kim [CA39],Republican,centrist Republican,19,387,234,463
456803,1343740146630451200,Michelle Steel,Republican,F,CA,rep,0.4724753967817918,0.3602859419596358,Steel,Republican,centrist Republican,22,211,159,265
456804,1345103905869455361,Sara Jacobs,Democrat,F,CA,rep,0.1962970533551182,0.3352468989942239,Jacobs [CA53],Democrat,moderate Democratic follower,19,540,153,235
456805,1342989756611907584,Lauren Boebert,Republican,F,CO,rep,0.6382462897108265,0.3846382713780648,Boebert,Republican,rank-and-file Republican,40,325,129,549
456806,1344325638983987201,Kat Cammack,Republican,F,FL,rep,0.6251027751714289,0.3892621228559638,Cammack,Republican,rank-and-file Republican,12,291,178,318
456807,1343664721384398849,C. Scott Franklin,Republican,M,FL,rep,0.6358779882011861,0.2545805006242715,Franklin,Republican,rank-and-file Republican,9,317,115,174
456808,1343968646050283522,Byron Donalds,Republican,M,FL,rep,0.6660308251027725,0.2458016971414352,Donalds,Republican,rank-and-file Republican,25,413,106,184
456809,1343679195034103808,Carlos A. Gimenez,Republican,M,FL,rep,0.5278287931667759,0.2697546865809168,Gimenez,Republican,centrist Republican,24,309,117,186
